stname,tractfips,Tract_2000,Tract_2010,municipality,city_neighborhood,est_obesity_rate,is_pittsburgh
Pennsylvania,42003475301,475301,,Bethel Park Muni,,0.26052301,0
Pennsylvania,42003475303,475303,,Bethel Park Muni,,0.224079369,0
Pennsylvania,42003475304,475304,,Bethel Park Muni,,0.197273985,0
Pennsylvania,42003475401,475401,,Bethel Park Muni,,0.26004664,0
Pennsylvania,42003475402,475402,,Bethel Park Muni,,0.223226611,0
Pennsylvania,42003476100,476100,,Castle Shannon ,,0.255666236,0
Pennsylvania,42003476200,476200,,Castle Shannon ,,0.271406967,0
Pennsylvania,42003477100,477100,,Whitehall ,,0.247258718,0
Pennsylvania,42003477200,477200,,Whitehall ,,0.256245906,0
Pennsylvania,42003477300,477300,,Whitehall ,,0.262484539,0
Pennsylvania,42003478100,478100,,Brentwood ,,0.267324744,0
Pennsylvania,42003478200,478200,,Brentwood ,,0.267670908,0
Pennsylvania,42003479000,479000,,Baldwin  ,,0.280389172,0
Pennsylvania,42003480101,480101,,Baldwin ,,0.286839393,0
Pennsylvania,42003480102,480102,,Baldwin ,,0.283085933,0
Pennsylvania,42003480200,480200,,Baldwin ,,0.287059439,0
Pennsylvania,42003480300,480300,,Baldwin ,,0.28046245,0
Pennsylvania,42003480400,480400,,Baldwin ,,0.298826366,0
Pennsylvania,42003481000,481000,,Mount Oliver ,,0.337537049,0
Pennsylvania,42003482500,482500,,West Homestead ,,0.30387295,0
Pennsylvania,42003483800,483800,,Homestead ,,0.387744909,0
Pennsylvania,42003484300,484300,,Munhall ,,0.305174675,0
Pennsylvania,42003484500,484500,,Munhall ,,0.288379612,0
Pennsylvania,42003484600,484600,,Munhall ,,0.292934088,0
Pennsylvania,42003485000,485000,,Whitaker ,,0.306421721,0
Pennsylvania,42003486700,486700,,Duquesne  ,,0.409565992,0
Pennsylvania,42003486800,486800,,Duquesne  ,,0.378409753,0
Pennsylvania,42003486900,486900,,Duquesne  ,,0.424884971,0
Pennsylvania,42003487000,487000,,Dravosburg ,,0.302538576,0
Pennsylvania,42003488100,488100,,West Mifflin ,,0.317716845,0
Pennsylvania,42003488200,488200,,West Mifflin ,,0.33719754,0
Pennsylvania,42003488300,488300,,West Mifflin ,,0.281383174,0
Pennsylvania,42003488400,488400,,West Mifflin ,,0.299858439,0
Pennsylvania,42003488500,488500,,West Mifflin ,,0.292163631,0
Pennsylvania,42003488600,488600,,West Mifflin ,,0.306069695,0
Pennsylvania,42003489001,489001,,Pleasant Hills ,,0.249617439,0
Pennsylvania,42003489002,489002,,Pleasant Hills ,,0.227286103,0
Pennsylvania,42003490002,490002,,South Park  ,,0.278973254,0
Pennsylvania,42003490003,490003,,South Park  ,,0.273803519,0
Pennsylvania,42003490004,490004,,South Park  ,,0.257085709,0
Pennsylvania,42003491101,491101,,Jefferson Hills ,,0.227793929,0
Pennsylvania,42003491200,491200,,Jefferson Hills ,,0.292331409,0
Pennsylvania,42003492700,492700,,Clairton  ,,0.304808095,0
Pennsylvania,42003492800,492800,,Clairton  ,,0.399328437,0
Pennsylvania,42003492900,492900,,Clairton  ,,0.313123878,0
Pennsylvania,42003494000,494000,,Elizabeth ,,0.302875198,0
Pennsylvania,42003495000,495000,,Forward  ,,0.302800944,0
Pennsylvania,42003496101,496101,,Elizabeth  ,,0.290509465,0
Pennsylvania,42003496102,496102,,Elizabeth  ,,0.303947196,0
Pennsylvania,42003496200,496200,,Elizabeth  ,,0.274080908,0
Pennsylvania,42003497000,497000,,Lincoln ,,0.310625678,0
Pennsylvania,42003498000,498000,,Liberty ,,0.300588757,0
Pennsylvania,42003499300,499300,,Glassport ,,0.299245703,0
Pennsylvania,42003499400,499400,,Glassport ,,0.30618199,0
Pennsylvania,42003500300,500300,,Port Vue ,,0.303149387,0
Pennsylvania,42003501000,501000,,Versailles ,,0.293406051,0
Pennsylvania,42003503002,503002,,White Oak ,,0.266622644,0
Pennsylvania,42003504100,504100,,North Versailles  ,,0.322758854,0
Pennsylvania,42003507000,507000,,East McKeesport ,,0.297379341,0
Pennsylvania,42003508000,508000,,Wilmerding ,,0.299365953,0
Pennsylvania,42003509400,509400,,Turtle Creek ,,0.287970651,0
Pennsylvania,42003510000,510000,,East Pittsburgh ,,0.337281449,0
Pennsylvania,42003512000,512000,,North Braddock ,,0.324396263,0
Pennsylvania,42003512800,512800,,North Braddock ,,0.41438381,0
Pennsylvania,42003512900,512900,,North Braddock ,,0.431658948,0
Pennsylvania,42003513800,513800,,Braddock ,,0.482442708,0
Pennsylvania,42003514000,514000,,Rankin ,,0.454089592,0
Pennsylvania,42003515100,515100,,Swissvale ,,0.351186825,0
Pennsylvania,42003515200,515200,,Swissvale ,,0.27628363,0
Pennsylvania,42003515300,515300,,Swissvale ,,0.335109797,0
Pennsylvania,42003515401,515400,5154.01,Swissvale ,,0.263372026,0
Pennsylvania,42003515401,515500,5154.01,Swissvale ,,0.166940808,0
Pennsylvania,42003516100,516100,,Edgewood ,,0.199533325,0
Pennsylvania,42003516200,516200,,Edgewood ,,0.189226318,0
Pennsylvania,42003517000,517000,,Braddock Hills ,,0.311349755,0
Pennsylvania,42003518001,518001,,Forest Hills ,,0.206929818,0
Pennsylvania,42003519000,519000,,Churchill ,,0.20718432,0
Pennsylvania,42003520001,520001,,Wilkins  ,,0.259436488,0
Pennsylvania,42003520002,520002,,Wilkins  ,,0.265713436,0
Pennsylvania,42003521100,521100,,Monroeville Muni,,0.292862169,0
Pennsylvania,42003521200,521200,,Monroeville Muni,,0.239349268,0
